Epoch,TrainError,TrainAcc,TestAcc
1,0.057012,0.7866,0.7687
2,0.043073,0.8285,0.8165
3,0.041301,0.8294,0.8185
4,0.040345,0.8051,0.7913
5,0.041373,0.8020,0.7883
6,0.040717,0.7815,0.7675
7,0.039322,0.7849,0.7762
8,0.038834,0.8251,0.8091
9,0.039743,0.8060,0.7923
10,0.040130,0.7962,0.7849
11,0.041351,0.7899,0.7767
12,0.041159,0.7803,0.7669
13,0.039355,0.7622,0.7476
14,0.040705,0.8015,0.7929
15,0.040468,0.8063,0.7877
16,0.040267,0.7860,0.7765
17,0.042002,0.7823,0.7723
18,0.041589,0.7197,0.7090
19,0.039795,0.8017,0.7906
20,0.039048,0.7861,0.7746
21,0.040952,0.7186,0.7107
22,0.041302,0.7860,0.7769
23,0.040691,0.7784,0.7698
24,0.041037,0.7951,0.7834
25,0.040786,0.7674,0.7574
26,0.039856,0.7988,0.7856
27,0.038900,0.7849,0.7701
28,0.040509,0.7695,0.7617
29,0.038880,0.8037,0.7885
30,0.036668,0.7755,0.7650
